Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
44245196,The Great Mental Models: General Thinking Concepts,Shane Parrish,"Parrish, Shane",Rhiannon Beaubien,,,0,4.08,Latticework Publishing Inc.,Kindle Edition,216,2019,2018,1/4/21,4/15/19,,,read,,,,1,,,0,,,,,
38466356,The Art of Gathering: How We Meet and Why It Matters,Priya Parker,"Parker, Priya",,,,0,3.99,Riverhead Books,Kindle Edition,320,2018,2018,,2/3/21,currently-reading,currently-reading (#4),currently-reading,,,,1,,,0,,,,,
23316526,"The Second Machine Age: Work, Progress, and Prosperity in a Time of Brilliant Technologies",Erik Brynjolfsson,"Brynjolfsson, Erik",Andrew McAfee,0393350649,9780393350647,0,3.94,W. W. Norton  Company,Paperback,336,2016,2014,,11/22/18,to-read,to-read (#6),to-read,,,,0,,,0,,,,,
34466958,Bullshit Jobs: A Theory,David Graeber,"Graeber, David",,150114331X,9781501143311,0,4,Simon & Schuster,Hardcover,335,2018,2018,,2/19/19,to-read,to-read (#23),to-read,,,,0,,,0,,,,,
49099937,No Rules Rules: Netflix and the Culture of Reinvention,Reed Hastings,"Hastings, Reed",Erin Meyer,0593152387,9780593152386,0,4.34,Random House Large Print Publishing,Paperback,464,2020,2020,10/31/20,4/4/20,,,read,,,,1,,,0,,,,,
17331349,Think Like a Freak,Steven D. Levitt,"Levitt, Steven D.",Stephen J. Dubner,0062218360,9780062218360,0,3.85,William Morrow,ebook,304,2014,2014,,10/26/19,,,read,,,,1,,,0,,,,,
25852784,Evicted: Poverty and Profit in the American City,Matthew Desmond,"Desmond, Matthew",,0553447432,9780553447439,0,4.46,Crown Publishers,Hardcover,418,2016,2016,12/18/19,12/6/19,,,read,,,,1,,,0,,,,,
375802,"Ender's Game (Ender's Saga, #1)",Orson Scott Card,"Card, Orson Scott",,0812550706,9780812550702,0,4.3,Tor,Mass Market Paperback,324,2004,1985,,7/27/19,,,read,,,,1,,,0,,,,,
900892,A Random Walk Down Wall Street,Burton G. Malkiel,"Malkiel, Burton G.",,0393325350,9780393325355,5,4.13,W. W. Norton  Company,Paperback,464,2004,1973,,11/22/18,,,read,,,,1,,,0,,,,,
25489625,Between the World and Me,Ta-Nehisi Coates,"Coates, Ta-Nehisi",,0812993543,9780812993547,0,4.38,Spiegel & Grau,Hardcover,152,2015,2015,12/18/19,3/9/19,,,read,,,,1,,,0,,,,,
